session_id,customer_id,started_at,duration_seconds,end_reason,device_type
sess_00000040,,2026-01-01 19:39:59,157,no_activity,mobile
sess_00000041,cust_000380,2026-01-01 12:48:53,703,no_activity,mobile
sess_00000042,cust_001666,2026-01-01 17:21:16,3,no_activity,mobile
sess_00000043,,2026-01-01 13:09:58,306,no_activity,mobile
sess_00000044,,2026-01-01 10:55:40,398,no_activity,mobile
sess_00000045,cust_000756,2026-01-01 06:42:14,39,no_activity,desktop
sess_00000046,cust_000657,2026-01-01 22:32:54,685,no_activity,desktop
sess_00000047,cust_000818,2026-01-01 10:13:45,692,no_activity,desktop
sess_00000048,,2026-01-01 22:22:27,4,no_activity,mobile
sess_00000049,,2026-01-01 09:32:18,212,timeout,desktop
sess_00000050,cust_002863,2026-01-01 18:14:49,728,no_activity,tablet
sess_00000051,,2026-01-01 13:10:56,427,logout,mobile
sess_00000052,,2026-01-02 11:12:07,673,no_activity,desktop
sess_00000053,cust_001953,2026-01-02 13:28:17,15,no_activity,desktop
sess_00000054,,2026-01-02 16:06:47,303,no_activity,desktop
sess_00000055,cust_001296,2026-01-02 08:57:15,219,no_activity,desktop
sess_00000056,cust_001029,2026-01-02 11:37:57,1787,no_activity,desktop
sess_00000057,cust_002663,2026-01-02 21:54:49,15,no_activity,mobile
sess_00000058,cust_001473,2026-01-02 10:58:07,288,timeout,desktop
sess_00000059,,2026-01-02 08:27:43,22,no_activity,tablet
sess_00000060,cust_002578,2026-01-02 12:30:14,96,no_activity,desktop
sess_00000061,,2026-01-02 07:39:00,515,no_activity,mobile
sess_00000062,,2026-01-02 08:37:22,19,no_activity,mobile
sess_00000063,,2026-01-02 12:49:12,1091,no_activity,desktop
sess_00000064,,2026-01-02 13:46:04,430,no_activity,mobile
sess_00000065,,2026-01-02 12:34:19,3433,logout,desktop
sess_00000066,cust_000014,2026-01-02 16:02:29,2402,no_activity,desktop
sess_00000067,,2026-01-02 17:24:42,12,no_activity,desktop
sess_00000068,,2026-01-02 16:03:32,17,no_activity,desktop
sess_00000069,,2026-01-02 05:31:40,1066,no_activity,desktop
sess_00000070,cust_002659,2026-01-02 13:54:20,27,no_activity,desktop
sess_00000071,cust_002691,2026-01-02 06:37:03,226,timeout,mobile
sess_00000072,,2026-01-02 11:13:03,922,no_activity,desktop
sess_00000073,,2026-01-02 09:19:53,87,timeout,desktop
sess_00000074,,2026-01-02 13:40:24,1038,no_activity,desktop
sess_00000075,,2026-01-02 20:44:20,21,no_activity,desktop
sess_00000076,cust_001720,2026-01-02 19:18:05,1443,no_activity,desktop
sess_00000077,,2026-01-02 06:41:48,12,no_activity,mobile
sess_00000078,cust_002133,2026-01-02 09:02:02,489,no_activity,desktop
sess_00000079,,2026-01-02 12:29:38,88,no_activity,desktop
sess_00000080,,2026-01-02 20:36:10,3,no_activity,desktop
sess_00000081,cust_002110,2026-01-02 14:11:38,348,no_activity,mobile
sess_00000082,cust_001671,2026-01-02 19:43:56,242,no_activity,desktop
sess_00000083,cust_000523,2026-01-02 18:03:13,1,no_activity,mobile
sess_00000084,,2026-01-02 10:41:48,1949,timeout,mobile
sess_00000085,,2026-01-02 11:04:19,450,no_activity,mobile
sess_00000086,,2026-01-02 18:29:18,455,no_activity,tablet
sess_00000087,cust_000148,2026-01-02 15:08:23,28,no_activity,mobile
sess_00000088,cust_000802,2026-01-02 10:21:44,685,no_activity,mobile
sess_00000089,cust_001048,2026-01-02 11:24:26,1424,no_activity,desktop
sess_00000090,cust_002276,2026-01-02 21:30:49,1526,no_activity,desktop
sess_00000091,,2026-01-02 11:16:08,329,no_activity,mobile
sess_00000092,cust_002531,2026-01-02 08:16:20,378,no_activity,desktop
sess_00000093,,2026-01-02 15:28:31,3901,logout,mobile
sess_00000094,,2026-01-02 18:06:13,435,timeout,desktop
sess_00000095,,2026-01-02 12:50:17,596,no_activity,mobile
sess_00000096,cust_002881,2026-01-02 09:02:56,299,no_activity,desktop
sess_00000097,,2026-01-02 12:21:21,18,no_activity,desktop
sess_00000098,,2026-01-02 18:40:24,6,no_activity,desktop
sess_00000099,,2026-01-02 11:43:37,968,no_activity,tablet
sess_00000100,cust_002341,2026-01-02 16:23:00,495,no_activity,mobile
sess_00000101,,2026-01-02 10:33:06,1934,no_activity,mobile
sess_00000102,cust_001185,2026-01-02 11:07:11,797,no_activity,desktop
sess_00000103,,2026-01-02 12:31:54,426,no_activity,desktop
sess_00000104,,2026-01-02 12:12:10,80,timeout,desktop
sess_00000105,cust_000286,2026-01-02 13:27:51,546,timeout,desktop
sess_00000106,cust_002871,2026-01-02 09:04:03,675,timeout,mobile
sess_00000107,,2026-01-02 19:13:50,310,timeout,desktop
sess_00000108,,2026-01-02 12:28:31,2,no_activity,mobile
sess_00000109,,2026-01-02 23:49:09,459,timeout,mobile
sess_00000110,cust_000660,2026-01-02 12:24:39,181,no_activity,desktop
sess_00000111,,2026-01-03 12:47:06,23,no_activity,mobile
sess_00000112,cust_000183,2026-01-03 13:27:08,2543,timeout,mobile
sess_00000113,cust_001237,2026-01-03 06:36:55,3970,no_activity,mobile
sess_00000114,cust_000325,2026-01-03 11:22:50,12,no_activity,mobile
sess_00000115,cust_001699,2026-01-03 17:30:40,94,no_activity,desktop
sess_00000116,cust_002355,2026-01-03 20:10:51,357,no_activity,mobile
sess_00000117,cust_001160,2026-01-03 09:21:13,248,no_activity,mobile
sess_00000118,,2026-01-03 11:23:43,607,no_activity,desktop
sess_00000119,,2026-01-03 12:40:11,406,no_activity,desktop
sess_00000120,cust_002200,2026-01-03 09:19:50,321,no_activity,desktop
sess_00000121,,2026-01-03 19:00:10,25,no_activity,mobile
sess_00000122,,2026-01-03 03:27:43,926,no_activity,mobile
sess_00000123,cust_000835,2026-01-03 10:28:03,28,no_activity,desktop
sess_00000124,,2026-01-03 16:00:34,158,no_activity,desktop
sess_00000125,cust_000818,2026-01-03 14:49:23,644,no_activity,mobile
sess_00000126,,2026-01-03 09:24:36,310,no_activity,desktop
sess_00000127,,2026-01-03 20:04:59,3,no_activity,desktop
sess_00000128,cust_001508,2026-01-03 16:34:48,271,no_activity,desktop
sess_00000129,,2026-01-03 10:37:56,585,no_activity,mobile
sess_00000130,,2026-01-03 10:52:45,400,no_activity,mobile
sess_00000131,cust_001332,2026-01-03 12:47:59,124,no_activity,mobile
sess_00000132,,2026-01-03 19:32:42,60,no_activity,desktop
sess_00000133,,2026-01-03 11:54:26,345,no_activity,desktop
sess_00000134,cust_000027,2026-01-03 08:38:31,22,no_activity,tablet
sess_00000135,cust_001886,2026-01-03 11:09:12,146,no_activity,desktop
sess_00000136,cust_000777,2026-01-03 02:28:56,174,no_activity,mobile
sess_00000137,,2026-01-03 15:16:06,569,logout,desktop
sess_00000138,cust_000304,2026-01-03 21:59:19,30,no_activity,desktop
sess_00000139,,2026-01-03 20:16:43,220,no_activity,mobile
sess_00000140,cust_002105,2026-01-03 16:27:30,242,timeout,desktop
sess_00000141,cust_000544,2026-01-03 10:57:50,8,no_activity,desktop
sess_00000142,,2026-01-03 18:47:51,445,no_activity,desktop
sess_00000143,,2026-01-03 21:42:55,537,no_activity,mobile
sess_00000144,cust_000171,2026-01-03 19:22:07,357,no_activity,mobile
sess_00000145,,2026-01-03 15:37:20,125,timeout,desktop
sess_00000146,cust_000696,2026-01-03 11:25:04,1272,no_activity,mobile
sess_00000147,,2026-01-03 09:46:21,328,timeout,mobile
sess_00000148,,2026-01-03 06:36:00,66,logout,mobile
sess_00000149,cust_000871,2026-01-03 21:47:04,2,no_activity,desktop
sess_00000150,,2026-01-03 19:08:57,523,no_activity,desktop
sess_00000151,,2026-01-03 20:06:44,486,logout,desktop
sess_00000152,,2026-01-03 06:13:15,453,no_activity,desktop
sess_00000153,,2026-01-03 08:07:15,944,timeout,mobile
sess_00000154,cust_001604,2026-01-03 16:28:35,288,no_activity,desktop
sess_00000155,cust_001672,2026-01-03 15:18:11,25,no_activity,desktop
sess_00000156,,2026-01-03 11:43:16,272,no_activity,desktop
sess_00000157,,2026-01-03 04:33:04,2815,no_activity,mobile
sess_00000158,cust_001113,2026-01-03 08:32:44,413,no_activity,desktop
sess_00000159,,2026-01-03 17:37:07,2047,no_activity,desktop
sess_00000160,cust_001157,2026-01-03 21:28:37,79,no_activity,desktop
sess_00000161,,2026-01-03 19:10:28,27,no_activity,mobile
sess_00000162,,2026-01-03 20:00:09,953,no_activity,tablet
sess_00000163,cust_002008,2026-01-03 21:51:11,566,no_activity,desktop
sess_00000164,,2026-01-03 20:20:30,279,no_activity,desktop
sess_00000165,,2026-01-03 19:21:38,620,logout,desktop
sess_00000166,cust_001139,2026-01-03 12:51:27,398,timeout,mobile
sess_00000167,,2026-01-03 13:32:17,175,no_activity,mobile
sess_00000168,,2026-01-03 08:03:56,491,no_activity,mobile
sess_00000169,,2026-01-03 17:21:43,4,no_activity,desktop
sess_00000170,cust_000784,2026-01-04 20:52:03,13,no_activity,mobile
sess_00000171,,2026-01-04 12:56:21,524,no_activity,desktop
sess_00000172,,2026-01-04 11:03:34,5,no_activity,desktop
sess_00000173,cust_002389,2026-01-04 10:05:25,326,no_activity,desktop
sess_00000174,,2026-01-04 15:40:35,1487,no_activity,desktop
sess_00000175,cust_000188,2026-01-04 07:39:12,436,no_activity,desktop
sess_00000176,,2026-01-04 08:41:52,817,logout,mobile
sess_00000177,,2026-01-04 09:33:10,77,no_activity,desktop
sess_00000178,cust_001564,2026-01-04 16:54:05,258,no_activity,mobile
sess_00000179,,2026-01-04 15:37:18,11,no_activity,desktop
sess_00000180,,2026-01-04 15:53:48,1,no_activity,mobile
sess_00000181,cust_001492,2026-01-04 13:46:46,204,no_activity,desktop
sess_00000182,,2026-01-04 08:40:02,344,no_activity,desktop
sess_00000183,,2026-01-04 21:24:43,460,no_activity,desktop
sess_00000184,cust_002144,2026-01-04 20:50:41,1896,no_activity,mobile
sess_00000185,cust_001049,2026-01-04 20:32:06,556,no_activity,desktop
sess_00000186,cust_002338,2026-01-04 12:09:54,401,no_activity,desktop
sess_00000187,cust_000032,2026-01-04 10:25:09,19,no_activity,tablet
sess_00000188,,2026-01-04 22:37:43,1778,no_activity,desktop
sess_00000189,cust_002159,2026-01-04 16:04:28,26,no_activity,mobile
sess_00000190,,2026-01-04 10:28:08,18,no_activity,mobile
sess_00000191,cust_001249,2026-01-04 15:53:22,87,no_activity,desktop
sess_00000192,cust_002839,2026-01-04 18:59:23,147,no_activity,desktop
sess_00000193,,2026-01-04 17:20:25,361,no_activity,tablet
sess_00000194,,2026-01-04 19:08:02,969,no_activity,desktop
sess_00000195,cust_001414,2026-01-04 12:27:31,903,no_activity,desktop
sess_00000196,,2026-01-04 07:01:45,662,no_activity,mobile
sess_00000197,cust_000042,2026-01-04 13:32:27,894,no_activity,mobile
sess_00000198,cust_002826,2026-01-04 10:09:10,440,timeout,desktop
sess_00000199,cust_000195,2026-01-04 17:14:57,465,no_activity,desktop
sess_00000200,,2026-01-04 21:55:26,117,timeout,mobile
sess_00000201,cust_002246,2026-01-04 08:19:02,260,no_activity,desktop
sess_00000202,,2026-01-04 17:52:51,656,no_activity,mobile
sess_00000203,,2026-01-04 15:17:25,489,no_activity,desktop
sess_00000204,cust_002404,2026-01-04 18:49:33,79,no_activity,mobile
sess_00000205,,2026-01-04 13:26:44,385,timeout,desktop
sess_00000206,cust_000407,2026-01-04 13:59:43,140,no_activity,desktop
sess_00000207,,2026-01-04 11:34:40,1998,no_activity,desktop
sess_00000208,,2026-01-04 09:20:53,15,no_activity,desktop
sess_00000209,cust_001088,2026-01-04 12:50:34,201,no_activity,desktop
sess_00000210,,2026-01-04 19:05:34,3026,no_activity,mobile
sess_00000211,,2026-01-04 20:28:33,6117,no_activity,desktop
sess_00000212,cust_002930,2026-01-04 15:33:29,30,no_activity,desktop
sess_00000213,cust_001273,2026-01-04 20:01:06,1026,no_activity,desktop
sess_00000214,cust_000758,2026-01-04 12:19:30,601,no_activity,desktop
sess_00000215,cust_002685,2026-01-04 17:30:58,120,no_activity,desktop
sess_00000216,,2026-01-04 19:15:48,507,no_activity,desktop
sess_00000217,,2026-01-04 14:45:42,1008,logout,desktop
sess_00000218,,2026-01-04 20:36:39,1314,timeout,desktop
sess_00000219,cust_000380,2026-01-04 13:04:29,19,no_activity,mobile
sess_00000220,cust_000233,2026-01-04 10:53:22,1315,no_activity,tablet
sess_00000221,cust_002419,2026-01-04 18:38:02,1,no_activity,tablet
sess_00000222,cust_001566,2026-01-04 12:01:01,771,no_activity,mobile
sess_00000223,,2026-01-04 06:58:23,1556,no_activity,mobile
sess_00000224,cust_002870,2026-01-04 09:10:07,439,timeout,desktop
sess_00000225,cust_002725,2026-01-04 10:01:07,931,no_activity,desktop
sess_00000226,cust_002490,2026-01-04 01:53:13,24,no_activity,desktop
sess_00000227,,2026-01-04 18:14:41,310,timeout,desktop
sess_00000228,,2026-01-04 15:13:53,407,no_activity,desktop
sess_00000229,cust_001412,2026-01-04 15:02:56,64,logout,desktop
sess_00000230,,2026-01-04 17:28:35,964,no_activity,desktop
sess_00000231,,2026-01-04 13:15:16,3103,no_activity,desktop
sess_00000232,cust_001913,2026-01-04 13:09:11,350,no_activity,desktop
sess_00000233,,2026-01-04 13:16:40,10,no_activity,desktop
sess_00000234,cust_000075,2026-01-04 14:19:28,1267,no_activity,desktop
sess_00000235,,2026-01-04 15:28:54,388,logout,mobile
sess_00000236,,2026-01-04 17:32:50,219,timeout,desktop
sess_00000237,,2026-01-05 05:52:53,439,no_activity,desktop
sess_00000238,cust_001303,2026-01-05 11:26:21,24,no_activity,mobile
sess_00000239,cust_000957,2026-01-05 12:05:08,29,no_activity,mobile
sess_00000240,,2026-01-05 08:39:32,392,no_activity,mobile
sess_00000241,,2026-01-05 13:50:06,29,timeout,desktop
sess_00000242,,2026-01-05 03:49:47,186,no_activity,mobile
sess_00000243,cust_000548,2026-01-05 12:44:55,13,no_activity,desktop
sess_00000244,,2026-01-05 12:57:23,746,no_activity,tablet
sess_00000245,,2026-01-05 10:20:07,769,timeout,desktop
sess_00000246,,2026-01-05 17:32:03,3,no_activity,mobile
sess_00000247,,2026-01-05 06:46:48,46,no_activity,desktop
sess_00000248,,2026-01-05 17:13:09,123,no_activity,mobile
sess_00000249,cust_002120,2026-01-05 07:50:52,286,no_activity,desktop
sess_00000250,cust_002366,2026-01-05 16:41:00,273,no_activity,tablet
sess_00000251,,2026-01-05 13:20:32,290,no_activity,desktop
sess_00000252,,2026-01-05 16:16:58,1425,no_activity,mobile
sess_00000253,cust_000224,2026-01-05 05:03:24,1423,no_activity,mobile
sess_00000254,,2026-01-05 09:54:27,710,timeout,mobile
sess_00000255,cust_000573,2026-01-05 14:17:17,241,no_activity,mobile
sess_00000256,,2026-01-05 06:11:29,147,no_activity,mobile
sess_00000257,cust_001330,2026-01-05 09:02:11,409,no_activity,desktop
sess_00000258,,2026-01-05 08:24:42,1616,no_activity,mobile
sess_00000259,,2026-01-05 10:10:46,380,timeout,desktop
sess_00000260,cust_000254,2026-01-05 09:29:16,257,no_activity,mobile
sess_00000261,cust_001830,2026-01-05 23:08:13,507,no_activity,mobile
sess_00000262,,2026-01-05 21:30:15,12,no_activity,desktop
sess_00000263,,2026-01-05 07:27:56,1250,no_activity,desktop
sess_00000264,cust_002054,2026-01-05 10:58:08,866,logout,desktop
sess_00000265,cust_002226,2026-01-05 14:47:39,7,no_activity,desktop
sess_00000266,cust_002041,2026-01-05 08:59:49,341,no_activity,mobile
sess_00000267,,2026-01-05 17:46:46,1994,no_activity,mobile
sess_00000268,,2026-01-05 11:52:30,551,no_activity,desktop
sess_00000269,cust_001586,2026-01-05 18:26:51,392,no_activity,mobile
sess_00000270,cust_000408,2026-01-05 11:46:51,2200,no_activity,mobile
sess_00000271,cust_000780,2026-01-05 19:00:12,465,no_activity,mobile
sess_00000272,,2026-01-05 17:30:22,6,no_activity,desktop
sess_00000273,cust_002252,2026-01-05 09:19:11,1,no_activity,mobile
sess_00000274,cust_002657,2026-01-05 19:59:54,685,logout,mobile
sess_00000275,,2026-01-05 11:45:39,24,no_activity,desktop
sess_00000276,cust_000588,2026-01-05 19:42:40,97,no_activity,desktop
sess_00000277,,2026-01-05 12:01:11,3,no_activity,mobile
sess_00000278,cust_000538,2026-01-05 22:30:00,877,logout,mobile
sess_00000279,cust_000291,2026-01-05 06:37:15,66,no_activity,mobile
sess_00000280,,2026-01-05 08:54:00,27,no_activity,mobile
sess_00000281,,2026-01-05 20:39:46,4,no_activity,desktop
sess_00000282,,2026-01-05 06:25:26,930,no_activity,desktop
sess_00000283,,2026-01-05 13:02:11,296,no_activity,desktop
sess_00000284,cust_001751,2026-01-05 19:12:08,76,no_activity,mobile
sess_00000285,cust_001625,2026-01-05 11:49:40,340,no_activity,mobile
sess_00000286,,2026-01-05 21:46:45,7200,no_activity,desktop
sess_00000287,,2026-01-05 04:59:57,772,no_activity,desktop
sess_00000288,cust_000740,2026-01-05 13:17:31,83,no_activity,desktop
sess_00000289,,2026-01-05 19:42:43,161,timeout,mobile
sess_00000290,,2026-01-05 09:13:46,289,no_activity,desktop
sess_00000291,,2026-01-05 14:26:52,1267,no_activity,desktop
sess_00000292,cust_002723,2026-01-05 18:31:38,709,no_activity,mobile
sess_00000293,cust_001311,2026-01-05 11:08:25,601,timeout,tablet
sess_00000294,,2026-01-05 12:22:43,673,no_activity,desktop
sess_00000295,,2026-01-05 08:44:13,30,no_activity,mobile
sess_00000296,,2026-01-05 15:12:31,24,no_activity,desktop
sess_00000297,cust_001503,2026-01-05 12:59:40,173,no_activity,mobile
sess_00000298,cust_000925,2026-01-05 20:19:54,10,no_activity,desktop
sess_00000299,cust_000194,2026-01-05 13:17:20,27,no_activity,desktop
sess_00000300,,2026-01-05 10:02:22,976,no_activity,desktop
sess_00000301,cust_002980,2026-01-05 16:34:09,78,no_activity,mobile
sess_00000302,,2026-01-05 17:47:00,213,no_activity,desktop
sess_00000303,,2026-01-05 19:06:05,861,no_activity,mobile
sess_00000304,,2026-01-05 22:20:32,134,no_activity,desktop
sess_00000305,,2026-01-05 23:44:24,587,no_activity,desktop
sess_00000306,cust_002423,2026-01-05 17:20:41,345,no_activity,tablet
sess_00000307,cust_002326,2026-01-05 21:42:43,1,no_activity,mobile
sess_00000308,,2026-01-05 15:09:21,430,no_activity,desktop
sess_00000309,cust_001188,2026-01-05 07:44:45,359,logout,mobile
sess_00000310,,2026-01-06 18:55:02,287,logout,desktop
sess_00000311,,2026-01-06 07:38:53,57,no_activity,mobile
sess_00000312,,2026-01-06 20:32:50,62,no_activity,desktop
sess_00000313,,2026-01-06 21:05:35,22,no_activity,mobile
sess_00000314,cust_000715,2026-01-06 14:42:06,8,no_activity,desktop
sess_00000315,cust_001941,2026-01-06 20:55:14,401,no_activity,mobile
sess_00000316,,2026-01-06 07:17:40,160,timeout,desktop
sess_00000317,cust_001456,2026-01-06 08:52:35,52,no_activity,mobile
sess_00000318,,2026-01-06 15:46:56,5,no_activity,desktop
sess_00000319,,2026-01-06 09:18:15,290,no_activity,mobile
sess_00000320,,2026-01-06 13:36:56,29,no_activity,desktop
sess_00000321,,2026-01-06 19:13:58,118,no_activity,mobile
sess_00000322,,2026-01-06 16:37:06,180,no_activity,mobile
sess_00000323,,2026-01-06 18:14:33,1035,no_activity,desktop
sess_00000324,,2026-01-06 19:37:24,123,no_activity,desktop
sess_00000325,,2026-01-06 18:36:54,50,no_activity,desktop
sess_00000326,,2026-01-06 19:51:40,860,timeout,mobile
sess_00000327,,2026-01-06 18:23:53,48,no_activity,desktop
sess_00000328,cust_003000,2026-01-06 14:44:42,503,timeout,mobile
sess_00000329,,2026-01-06 15:12:41,756,timeout,desktop
sess_00000330,cust_001384,2026-01-06 18:44:05,783,no_activity,desktop
sess_00000331,,2026-01-06 13:41:52,1119,no_activity,mobile
sess_00000332,cust_001798,2026-01-06 09:29:56,175,no_activity,mobile
sess_00000333,cust_002048,2026-01-06 16:51:40,2550,timeout,desktop
sess_00000334,,2026-01-06 18:03:32,469,no_activity,mobile
sess_00000335,,2026-01-06 13:12:43,204,no_activity,desktop
sess_00000336,,2026-01-06 20:29:00,1251,no_activity,desktop
sess_00000337,cust_000828,2026-01-06 13:49:10,433,no_activity,desktop
sess_00000338,cust_001711,2026-01-06 19:46:54,20,no_activity,mobile
sess_00000339,,2026-01-06 16:49:44,72,no_activity,desktop
sess_00000340,,2026-01-06 19:23:55,350,no_activity,desktop
sess_00000341,cust_000185,2026-01-06 08:07:00,194,timeout,desktop
sess_00000342,cust_000144,2026-01-06 07:33:55,87,no_activity,desktop
sess_00000343,,2026-01-06 11:06:55,160,no_activity,mobile
sess_00000344,,2026-01-06 11:05:17,1336,no_activity,desktop
sess_00000345,,2026-01-06 10:13:59,313,timeout,mobile
sess_00000346,,2026-01-06 08:41:26,140,no_activity,desktop
sess_00000347,,2026-01-06 06:59:18,20,no_activity,desktop
sess_00000348,,2026-01-06 15:26:23,291,no_activity,mobile
sess_00000349,cust_000265,2026-01-06 14:32:40,28,no_activity,desktop
sess_00000350,,2026-01-06 12:17:54,1132,no_activity,desktop
sess_00000351,cust_001439,2026-01-06 12:01:36,9,no_activity,mobile
sess_00000352,cust_000855,2026-01-06 07:33:17,29,no_activity,mobile
sess_00000353,,2026-01-06 16:16:40,139,no_activity,desktop
sess_00000354,,2026-01-06 05:39:41,1210,logout,desktop
sess_00000355,,2026-01-06 18:33:16,1567,no_activity,desktop
sess_00000356,,2026-01-06 04:03:59,101,logout,mobile
sess_00000357,cust_002845,2026-01-06 19:08:20,317,timeout,mobile
sess_00000358,,2026-01-06 16:45:18,655,no_activity,desktop
sess_00000359,,2026-01-06 20:27:11,664,no_activity,mobile
sess_00000360,,2026-01-06 09:23:07,512,no_activity,mobile
sess_00000361,cust_000612,2026-01-06 02:39:51,16,no_activity,desktop
sess_00000362,,2026-01-06 21:45:20,233,no_activity,desktop
sess_00000363,cust_002596,2026-01-06 13:45:48,372,no_activity,desktop
sess_00000364,,2026-01-06 11:59:58,465,timeout,desktop
sess_00000365,cust_001170,2026-01-06 19:35:10,506,no_activity,desktop
sess_00000366,,2026-01-06 09:58:06,237,no_activity,mobile
sess_00000367,cust_002936,2026-01-06 11:55:44,2593,no_activity,desktop
sess_00000368,cust_002279,2026-01-06 20:08:16,14,no_activity,mobile
sess_00000369,cust_001403,2026-01-06 13:47:05,9,no_activity,tablet
sess_00000370,cust_001908,2026-01-06 21:49:31,462,no_activity,desktop
sess_00000371,,2026-01-07 10:17:04,15,no_activity,mobile
sess_00000372,cust_001225,2026-01-07 05:44:20,295,no_activity,mobile
sess_00000373,cust_000022,2026-01-07 17:48:14,242,no_activity,mobile
sess_00000374,,2026-01-07 17:38:28,1078,no_activity,desktop
sess_00000375,cust_001757,2026-01-07 12:28:01,330,no_activity,mobile
sess_00000376,cust_000530,2026-01-07 09:19:12,471,no_activity,desktop
sess_00000377,,2026-01-07 12:59:33,1081,no_activity,desktop
sess_00000378,,2026-01-07 18:55:35,409,no_activity,desktop
sess_00000379,,2026-01-07 14:57:11,208,no_activity,mobile
sess_00000380,,2026-01-07 18:12:40,156,no_activity,desktop
sess_00000381,cust_002755,2026-01-07 18:08:37,475,no_activity,mobile
sess_00000382,,2026-01-07 09:38:35,151,no_activity,mobile
sess_00000383,,2026-01-07 14:33:15,1108,no_activity,desktop
sess_00000384,,2026-01-07 18:14:11,187,timeout,mobile
sess_00000385,cust_001343,2026-01-07 03:30:49,374,no_activity,desktop
sess_00000386,cust_002764,2026-01-07 12:32:32,521,timeout,desktop
sess_00000387,,2026-01-07 12:22:05,319,no_activity,mobile
sess_00000388,cust_001662,2026-01-07 18:44:18,344,no_activity,desktop
sess_00000389,,2026-01-07 20:46:31,151,no_activity,desktop
sess_00000390,,2026-01-07 08:20:38,412,no_activity,mobile
sess_00000391,cust_001279,2026-01-07 22:59:43,496,no_activity,tablet
sess_00000392,cust_002544,2026-01-07 23:55:11,1012,no_activity,mobile
sess_00000393,,2026-01-07 16:57:20,72,no_activity,desktop
sess_00000394,cust_000773,2026-01-07 06:05:38,1643,timeout,desktop
sess_00000395,,2026-01-07 19:57:22,190,logout,desktop
sess_00000396,cust_002698,2026-01-07 11:46:59,1701,timeout,mobile
sess_00000397,cust_001245,2026-01-07 17:34:29,4,no_activity,desktop
sess_00000398,cust_001052,2026-01-07 20:07:07,1645,no_activity,mobile
sess_00000399,,2026-01-07 20:39:09,222,no_activity,desktop
sess_00000400,,2026-01-07 17:27:19,265,timeout,desktop
sess_00000401,cust_000480,2026-01-07 18:00:44,18,no_activity,mobile
sess_00000402,,2026-01-07 01:26:15,192,no_activity,mobile
sess_00000403,,2026-01-07 18:05:42,620,no_activity,mobile
sess_00000404,cust_002286,2026-01-07 12:20:04,521,timeout,mobile
sess_00000405,,2026-01-07 06:41:57,182,no_activity,desktop
sess_00000406,,2026-01-07 23:39:17,2,no_activity,desktop
sess_00000407,cust_000781,2026-01-07 21:26:37,499,no_activity,desktop
sess_00000408,,2026-01-07 14:48:10,329,timeout,mobile
sess_00000409,cust_002114,2026-01-07 13:00:21,460,logout,desktop
